Id	Description	Qty	Unit	Designators
1	Cable, 4 wires	0	m	relayCable
2	Cable, 6 wires	0	m	truckWiringCable
3	Connector, 4 pins	1		relayConnector
4	Connector, 6 pins	1		truckConnector
5	Connector, ???, ???, 11 pins	1		oem11pinConnector
6	Connector, ???, ???, 14 pins	1		oem14pinConnector
