Id	Description	Qty	Unit	Designators	Manufacturer	MPN
1	Cable, 4 x 20 AWG	0	m	patchCable		
2	Connector, Female Plug, 10 pins	1		pedal	Ford	WPT-1326
3	Connector, Male Plug, 4 pins	1		adapterPlug	Deutsch	DT06-4S
